actual_costs_to_report_date,project_id,department,category,subcategory,project_description,initial_costs,cap_ex_2019,op_map
828624.94,1804200417,Public Works,Regional Streets,Streets Renewals,Downtown Reg St,662898.41,165726.53,Road Maintenance
164197.82,1857000719,Public Works,Parks and Open Space,Community Park Amenities,PREP-North Kildonan,NA,164197.82,Parks and Urban Forestry
1577881.68,2205000017,Winnipeg Police Service,Computer Upgrades,Software Upgrade,Police Div Systems Upgr. M,1413926.57,163955.11,Police Service
716768.42,1805001414,Public Works,Local Streets,Waterway Crossings and Grade Separations Various,Louise Bridge (Red River),554672.29,162096.13,Road Maintenance
162053.85,1806300119,Public Works,Local Streets,Lane Renewals,Alley Package - 19-RL-01,NA,162053.85,Road Maintenance
301695,2060000600,Solid Waste Disposal Utility,Collection and Disposal,Other Landfills,Closed Landfill Site Improv RP,139889.71,161805.29,Solid Waste Collection
158017.45,1857000319,Public Works,Parks and Open Space,Community Park Amenities,PREP-Daniel McIntyre,NA,158017.45,Parks and Urban Forestry
405515.18,6351300216,"Planning, Property and Development",Land Drainage & Flood Control,Riverbank Stabilization,Riverbank Stab/Phys Asset Prot,247809.88,157705.3,Misc Capital Expenditure
210011.38,6351300117,"Planning, Property and Development",Land Drainage & Flood Control,Riverbank Greenway Programs,Riverbank Greenway Programs,54002.98,156008.4,Misc Capital Expenditure
773683.3,1804200418,Public Works,Regional Streets,Streets Renewals,Downtown Reg St,617936.99,155746.31,Road Maintenance
810660.15,1804101517,Public Works,Regional Streets,Streets Renewals,Princess-William/Donald,657275.52,153384.63,Road Maintenance
233144.17,6390000118,Municipal Accommodations,Property Asset Management,Community Centres - Refurbishment and Improvements,Community Centres- Refurbish,81741.51,151402.66,Recreation
247463.18,2001001517,Waterworks Utility,Supply and Treatment,Security Upgrades,Water System Security Upgrades,97770.04,149693.14,Water & Waste
147733.76,1420216217,Local Improvements,Local Improvements,Lane pavement,Coniston/Lyndale/Ferndale/Lawn,NA,147733.76,Road Maintenance
239922.56,6251000118,Community Services (including Community Incentive Grants),Grants,Community Incentive Grant Program,Community Incentive Grant Prog,93470.86,146451.7,Misc Capital Expenditure
3342135.8,6362400219,Community Services (including Community Incentive Grants),Recreation and Leisure,Recreation Facility Refurbishment & Redevelopment- Existing,"Pan Am Pool-Ceiling, Lighting",3198975.99,143159.81,Recreation
206513.92,2003000616,Waterworks Utility,Supply and Treatment,Aqueduct,Aqueduct Asset Preservation,64364.61,142149.31,Water & Waste
141192.58,1804102919,Public Works,Regional Streets,Streets Renewals,Watt St-Chalmers-Munroe-NBCF,NA,141192.58,Road Maintenance
220131.89,1857001318,Public Works,Parks and Open Space,Community Park Amenities,PREP-St. James-Brooklands,79783.42,140348.47,Parks and Urban Forestry
8738752.59,1806101517,Public Works,Local Streets,Street Renewals,Ind St 17-RI-01,8598927.69,139824.9,Road Maintenance
442304.58,6392060117,Municipal Accommodations,Property Asset Management,Indoor Aquatic Facilities - Maintenance and Repair,Eldon Ross Pool Roof Replace,304139.8,138164.78,Recreation
1861633.72,3402500016,"Innovation, Transformation and Technology",Hardware,Communications Network Infrastructure,Enterprise Computing Initia RP,1724846.12,136787.6,"Innovation, Transformation & Technology"
136292.89,1857000919,Public Works,Parks and Open Space,Community Park Amenities,PREP-Point Douglas,NA,136292.89,Parks and Urban Forestry
663012.58,2104013018,Fire Paramedic Service,Equipment,Replacement,Zoll Monitor Defibrillators,527463.47,135549.11,Fire Service
134590.1,1804102319,Public Works,Regional Streets,Streets Renewals,Dwtn-SmthNB-NtrDme-Midtwn-NBCF,NA,134590.1,Road Maintenance
143249.13,1420215818,Local Improvements,Local Improvements,Lane pavement,"Coniston,Lyndale,Monck,Claremo",8711.64,134537.49,Road Maintenance
143480.28,1420215718,Local Improvements,Local Improvements,Lane pavement,"Coniston,Lyndale,Claremont",11031.38,132448.9,Road Maintenance
139770.55,6210000117,Community Services (including Community Incentive Grants),Library,Library Improvements- Existing,Library Safety & Access Prog,9700,130070.55,Libraries
335255.46,2040001516,Sewage Disposal Utility,Collection,Information Technology,GIS & PW Manager Upgrade,208066.3,127189.16,Water & Waste
5204106.49,1806100918,Public Works,Local Streets,Street Renewals,LSR 18-R-07 Morrison,5079796.16,124310.33,Road Maintenance
494841.05,6391000117,Municipal Accommodations,Property Asset Management,Arenas - Refurbishment and Redevelopment - Existing,Arenas,370726.15,124114.9,Recreation
128827.03,2005000700,Waterworks Utility,Supply and Treatment,Pumping Stations,Hurst Pumping Stn          MRP,7422.5,121404.53,Water & Waste
121024.86,2005001418,Waterworks Utility,Supply and Treatment,Pumping Stations,HVAC Upgrades Pumping Stn    M,0,121024.86,Water & Waste
503410.78,1813000117,Public Works,Other Street Projects,Land Drainage Sewer,Land Drainage Sewer-Reg/Loc St,382442.38,120968.4,Misc Capital Expenditure
5388467.71,1804100518,Public Works,Regional Streets,Streets Renewals,McGregor-Selkirk/Mountain,5268618.48,119849.23,Road Maintenance
118233.48,2104013019,Fire Paramedic Service,Equipment,Replacement,Zoll Monitor Defibrillators,NA,118233.48,Fire Service
115438.89,400000518,City Clerks,City Clerks,Election Systems,Elections Systems,NA,115438.89,Misc Capital Expenditure
107596.77,1804102019,Public Works,Regional Streets,Streets Renewals,Dwtn-Fort NB-Grham-Brodwy-NBCF,NA,107596.77,Road Maintenance
106060.22,6393000119,Municipal Accommodations,Property Asset Management,Outdoor Aquatic Facilities - Maintenance and Repair,Outdoor Aquatic Facilities,NA,106060.22,Recreation
105962.56,4210010118,Transit,Transit Building Replacement/Refurbishment,2018 Building General,Trn Bldg Replce/Refurb General,0,105962.56,Public Transit
105678.08,1804103019,Public Works,Regional Streets,Streets Renewals,Munroe-Raleigh-Henderson-NBCF,NA,105678.08,Road Maintenance
104069.38,1806101119,Public Works,Local Streets,Street Renewals,LSR 19-R-04 A AECOM,NA,104069.38,Road Maintenance
103878.13,1857001319,Public Works,Parks and Open Space,Community Park Amenities,PREP-St. James,NA,103878.13,Parks and Urban Forestry
102904.81,6351800119,"Planning, Property and Development",City Beautification,Downtown Enhancement Program,Downtown Enhancement Program,NA,102904.81,City Beautification
102504.29,1804101919,Public Works,Regional Streets,Streets Renewals,Dwtn-Donld-St MryAv-Gertr-NBCF,NA,102504.29,Road Maintenance
100887.32,2109010018,Fire Paramedic Service,Equipment,Acquisition,Portable Mass Spectrometer,0,100887.32,Fire Service
5381421.96,1806100917,Public Works,Local Streets,Street Renewals,LSR 17-R-03 AECOM,5283404.88,98017.08,Road Maintenance
97930,1804101719,Public Works,Regional Streets,Streets Renewals,Dwtn-Brodway-Osborne-Main-NBCF,NA,97930,Road Maintenance
97621.21,6361000419,"Planning, Property and Development",Computer Upgrades,Computer Automation,Computer Automation,NA,97621.21,Misc Capital Expenditure
97090.12,6390000119,Municipal Accommodations,Property Asset Management,Community Centres - Refurbishment and Improvements,Community Centres- Refurbish,NA,97090.12,Recreation
96478.55,1857001519,Public Works,Parks and Open Space,Community Park Amenities,PREP-St. Vital,NA,96478.55,Parks and Urban Forestry
96223.25,4210001318,Transit,Transit Security Enhance,Transit Safety Mgmt Practices,Bus Communication Moderization,0,96223.25,Public Transit
95533.66,1804100220,Public Works,Regional Streets,Streets Renewals,St.Jams St-Dublln to Sask-NBCF,NA,95533.66,Road Maintenance
1146221.1,6351802015,"Planning, Property and Development",Recreation,Other,Park City West Community Centr,1051041.1,95180,Parks and Urban Forestry
279334.83,2030001817,Sewage Disposal Utility,Collection,Lift Stations,Arc Flash Hazard Analysis/Remd,184769.82,94565.01,Water & Waste
94178.62,1804103219,Public Works,Regional Streets,Streets Renewals,Erin St-Ntr Dame-Wolever-NBCF,NA,94178.62,Road Maintenance
725053.29,1831000118,Public Works,Regional Streets,Traffic Engineering Improvements,Traffic Engineer Improve     P,632765.95,92287.34,Road Maintenance
92141.52,6362500319,Community Services (including Community Incentive Grants),Recreation and Leisure,Recreation Facility Redevelopment- New,New Rec Fac-S Winnipeg,0,92141.52,Recreation
92110.82,1806101919,Public Works,Regional Streets,Active Transportation Facilities,Rec Walkways and Bk Path Renew,NA,92110.82,Recreation
363837.32,6395000118,Municipal Accommodations,Property Asset Management,Accommodation Facilities,Accommodation Facilities,272518.63,91318.69,Misc Capital Expenditure
90752.89,1831100219,Public Works,Regional Streets,Traffic Engineering Improvements,Traffic Signals Loops,NA,90752.89,Road Maintenance
88204.23,3458300017,"Innovation, Transformation and Technology",Hardware,Infrastructure Service Enhancement,Infrastructure Service Enhance,0,88204.23,"Innovation, Transformation & Technology"
1655618.41,1804100218,Public Works,Regional Streets,Streets Renewals,Pembina NB-Ducharme/Cloutier,1567666.84,87951.57,Road Maintenance
87104.82,1804102719,Public Works,Regional Streets,Streets Renewals,Corydn EB-Watrloo-Cambrdg-NBCF,NA,87104.82,Road Maintenance
88239.64,6250000118,Community Services (including Community Incentive Grants),Recreation and Leisure,Recreation Facility Refurbishment & Redevelopment- Existing,Rec Facility Safety & Access,3000,85239.64,Recreation
1576806.62,2062000216,Solid Waste Disposal Utility,Collection and Disposal,Brady Road,Landfill Gas Capture Expan,1493573.29,83233.33,Road Maintenance
126296.46,6260000117,Community Services (including Community Incentive Grants),Information Technology,Software,Business Application Systems,43154.41,83142.05,Misc Capital Expenditure
82713.51,8310000219,Winnipeg Fleet Management Agency,Fleet Shop,Power Tools,Power Tools,NA,82713.51,Fleet
89431.16,1420215918,Local Improvements,Local Improvements,Lane pavement,"Walmer,Kirkdale,Lawndale,Birch",7072.15,82359.01,Road Maintenance
82156.12,400201717,City Clerks,City Clerks,Innovation Fund,ICF-Lane Closures System,NA,82156.12,"Innovation, Transformation & Technology"
81941.15,1804102619,Public Works,Regional Streets,Streets Renewals,Taylor Ave-Wilton-Pembina-NBCF,NA,81941.15,Road Maintenance
163653.09,1804101218,Public Works,Regional Streets,Street Improvements,Kenaston-Ness/Taylor,81867.73,81785.36,Road Maintenance
1529622.56,3402500017,"Innovation, Transformation and Technology",Hardware,Enterprise Computing,Enterprise Computing Initia RP,1449676.34,79946.22,"Innovation, Transformation & Technology"
81339.47,1804300218,Public Works,Regional Streets,Streets Renewals,PC-Regional&LocalSt Renewal #2,1582.62,79756.85,Road Maintenance
305385.46,2010000815,Waterworks Utility,Distribution,Information Technology,Lab Info Mgmt Upgrade,226014.41,79371.05,Water & Waste
79143.97,2002500818,Waterworks Utility,Supply and Treatment,Water Treatment,WTP Asset Refurbishment,0,79143.97,Water & Waste
79067.44,1804103119,Public Works,Regional Streets,Streets Renewals,Johnson W-Levis to Hendsn-NBCF,NA,79067.44,Road Maintenance
78628.42,6391000119,Municipal Accommodations,Property Asset Management,Arenas - Refurbishment and Redevelopment - Existing,Arenas,NA,78628.42,Recreation
77961.68,1804103719,Public Works,Regional Streets,Streets Renewals,RoblinBlvd-Dieppe-PTH101-NBCF,NA,77961.68,Road Maintenance
248554.16,6210000116,Community Services (including Community Incentive Grants),Library,Library Improvements- Existing,Library Safety & Access Prog,171518.7,77035.46,Libraries
76857.77,1857001619,Public Works,Parks and Open Space,Community Park Amenities,PREP-Transcona,NA,76857.77,Parks and Urban Forestry
76639.16,1857001119,Public Works,Parks and Open Space,Community Park Amenities,PREP-St. Boniface,NA,76639.16,Parks and Urban Forestry
74374.3,400181716,City Clerks,City Clerks,Innovation Fund,ICF-Transit Enhance & Bus WiFi,NA,74374.3,"Innovation, Transformation & Technology"
73839.5,1200001517,Corporate Projects,Enterprise Systems,PeopleSoft,PS Accounts Receivable Billing,0,73839.5,Misc Capital Expenditure
972051.21,1806101417,Public Works,Local Streets,Street Renewals,17-LI-01 WSP - Granular Imp,898857.84,73193.37,Road Maintenance
1687835.61,6251000115,Community Services (including Community Incentive Grants),Grants,Community Incentive Grant Program,Community Incentive Grant Prog,1614947.45,72888.16,Misc Capital Expenditure
77553.72,1420215618,Local Improvements,Local Improvements,Lane pavement,"Highfield,Coniston,Chandos,",4913.07,72640.65,Road Maintenance
72484.33,6362400419,Community Services (including Community Incentive Grants),Recreation and Leisure,Recreation Facility Refurbishment & Redevelopment- Existing,Norwood pool - Decommissioning,NA,72484.33,Recreation
72401.37,1420216117,Local Improvements,Local Improvements,Lane pavement,Highfield/Coniston /Claremont,NA,72401.37,Road Maintenance
72000,6251000119,Community Services (including Community Incentive Grants),Grants,Community Incentive Grant Program,Community Incentive Grant Prog,NA,72000,Misc Capital Expenditure
71734.12,2106020019,Fire Paramedic Service,Systems,Software Upgrade,Computer Aided Dispatch (CAD),NA,71734.12,Fire Service
282774,1857001718,Public Works,Parks and Open Space,Community Park Amenities,PREP-Priority Safety-Related,211113.82,71660.18,Parks and Urban Forestry
977721.81,1832000314,Public Works,Regional Streets,Active Transportation Facilities,Active Transportation Corridor,906162.57,71559.24,Recreation
71479.99,4230040119,Transit,Transit Buses,Low Income Bus Pass,Low Income Bus Pass,NA,71479.99,Public Transit
135573.88,4230010518,Transit,Rapid Transit,SW Rapid Tr Corridor,SWRT2 2018 P3 Payment,64895.66,70678.22,Public Transit
3388815.07,1832000617,Public Works,Regional Streets,Active Transportation Facilities,McDermot/Bannatyne (Phase 2) M,3318915.36,69899.71,Recreation
69326.61,6318020119,Public Works,Parks and Open Space,Community Parks,Parks Buildings,NA,69326.61,Parks and Urban Forestry
69325.07,8400000119,Winnipeg Parking Authority,Equipment,Automated License Plate Recognition (ALPR) Program,Automated License Plate Recogn,NA,69325.07,Parking
68960.12,400211717,City Clerks,City Clerks,Innovation Fund,ICF-Alarm Permit Mgnt System,NA,68960.12,"Innovation, Transformation & Technology"
7943792.67,6392010117,Municipal Accommodations,Property Asset Management,Indoor Aquatic Facilities - Maintenance and Repair,Seven Oaks Renewal Plan,7874977.46,68815.21,Recreation
81529.48,1857001518,Public Works,Parks and Open Space,Community Park Amenities,PREP-St. Vital,12875,68654.48,Parks and Urban Forestry
68062.15,3458500019,"Innovation, Transformation and Technology",Hardware,Renewals,Intake Program,NA,68062.15,"Innovation, Transformation & Technology"
216202.16,1857000418,Public Works,Parks and Open Space,Community Park Amenities,PREP-Elmwood-East Kildonan,148178.25,68023.91,Parks and Urban Forestry
67293.15,1804103319,Public Works,Regional Streets,Streets Renewals,Wall St-St Mattws-Ntr Dme-NBCF,NA,67293.15,Road Maintenance
144816.4,1854000117,Public Works,Parks and Open Space,Community Parks,Parks Master Plan,77632.27,67184.13,Parks and Urban Forestry
67931.67,6362500116,Community Services (including Community Incentive Grants),Recreation and Leisure,Recreation Facility Refurbishment & Redevelopment- Existing,Tyndall Park-Feasibility Study,1528.38,66403.29,Recreation
2824975.3,1832000117,Public Works,Regional Streets,Active Transportation Facilities,Pedestrian & Cycling Program,2760645.32,64329.98,Recreation
181405.3,2001002815,Waterworks Utility,Supply and Treatment,Various,Water Conservation Study,119754.69,61650.61,Water & Waste
144566.48,6253000116,Community Services (including Community Incentive Grants),Recreation and Leisure,Recreation Facility Refurbishment & Redevelopment- Existing,Recreation/Aquatics MasterPlan,84329.81,60236.67,Recreation
59853.13,4210001219,Transit,Transit Security Enhance,Transit Safety Mgmt Practices,Transit Safety Mgmt Practices,NA,59853.13,Public Transit
689886.31,6321000017,Fire Paramedic Service,Facilities,Maintenance,Station Capital Maintenance,631444.32,58441.99,Fire Service
4976768.95,1806100518,Public Works,Local Streets,Street Renewals,LSR 18-R-03 Morrison,4919167.88,57601.07,Road Maintenance
56469.72,1804102119,Public Works,Regional Streets,Streets Renewals,Dwtn-Hgrv NB-Prtag-Ellice-NBCF,NA,56469.72,Road Maintenance
70955.94,3459001518,"Innovation, Transformation and Technology",Software,Data Warehouse / Business Integration,ISP - Innovation Portfolio,15099.19,55856.75,"Innovation, Transformation & Technology"
125587.83,2003000617,Waterworks Utility,Supply and Treatment,Aqueduct,Aqueduct Asset Preservation,70969.25,54618.58,Water & Waste
813910.32,1806100118,Public Works,Local Streets,Street Renewals,LSR - Rue Des Trappistes,760853.52,53056.8,Road Maintenance
103561.61,2005001115,Waterworks Utility,Supply and Treatment,Pumping Stations,Chlorine Upgrading Pumping Stn,50518.88,53042.73,Water & Waste
52723.9,4210001519,Transit,Transit Improvements,Transit Improvements,Heated Bus Shelter Program,NA,52723.9,Public Transit
76651.19,1812000118,Public Works,Other Street Projects,Asset Management,Asset Mgmt - Various Divisions,23985.2,52665.99,Misc Capital Expenditure
273814.82,2040000815,Sewage Disposal Utility,Collection,Information Technology,Laboratory Info Mgmt Upgrade,221418.16,52396.66,Water & Waste
50821.32,6392000119,Municipal Accommodations,Property Asset Management,Indoor Aquatic Facilities - Maintenance and Repair,Indoor Aquatic Facilities,NA,50821.32,Recreation
50029.73,400151716,City Clerks,City Clerks,Innovation Fund,ICF -Facility Advertising Disp,NA,50029.73,"Innovation, Transformation & Technology"
49635.76,3459001718,"Innovation, Transformation and Technology",Software,Data Warehouse / Business Integration,ISP-Accounts Payable Workflow,NA,49635.76,"Innovation, Transformation & Technology"
78137.25,6250000117,Community Services (including Community Incentive Grants),Recreation and Leisure,Recreation Facility Refurbishment & Redevelopment- Existing,Rec Facility Safety & Access,29230.31,48906.94,Recreation
48666.09,4210000219,Transit,Transit Buses,2019 Transit Buses,Transit Buses 2019,NA,48666.09,Public Transit
349572.47,2040001716,Sewage Disposal Utility,Treatment,Information Technology,WIMS Dashboard,301356.64,48215.83,Water & Waste
47907.5,1804103519,Public Works,Regional Streets,Streets Renewals,Archibld-St Cathrne-Eliza-NBCF,NA,47907.5,Road Maintenance
47790.87,1804100420,Public Works,Regional Streets,Streets Renewals,St.JamsSt-NtrDmetoOmndsCr-NBCF,NA,47790.87,Road Maintenance
94039.71,6253000217,Community Services (including Community Incentive Grants),Recreation and Leisure,Recreation Facility Refurbishment & Redevelopment- Existing,Recre Refurb&Redevel East End,47340.9,46698.81,Recreation
46639.5,400331718,City Clerks,City Clerks,Innovation Fund,ICF -PeopleSoft AP Paperless,NA,46639.5,"Innovation, Transformation & Technology"
47100.61,6331000418,Municipal Accommodations,Property Asset Management,Fire/Life Safety Replacement/Asbestos Abatement,Fire/Life Safety/Regulatory,626.28,46474.33,Fire Service
199686.4,1857001018,Public Works,Parks and Open Space,Community Park Amenities,PREP-River Heights-Fort Garry,153534.87,46151.53,Parks and Urban Forestry
46030.69,2004000718,Waterworks Utility,Distribution,Feeder Mains,Feeder Main Condition Assessmt,0,46030.69,Water & Waste
45636.59,6262000119,Community Services (including Community Incentive Grants),Information Technology,Upgrade/Replace,Tech Advancement Program,NA,45636.59,Misc Capital Expenditure
543041.84,2003000917,Waterworks Utility,Supply and Treatment,Aqueduct,Br 1 Aqueduct-Riverbank Stab,498145.22,44896.62,Water & Waste
181264.02,1857001418,Public Works,Parks and Open Space,Community Park Amenities,PREP-S. Winnipeg - St. Norbert,136697.67,44566.35,Parks and Urban Forestry
44378.76,1857000219,Public Works,Parks and Open Space,Community Park Amenities,PREP-Charleswood-Tuxedo-Westwo,NA,44378.76,Road Maintenance
43696.2,1804200219,Public Works,Regional Streets,Sidewalk and Curb Repair,Detectable Warning Surf Reg St,NA,43696.2,Road Maintenance
43423.82,2002500819,Waterworks Utility,Supply and Treatment,Water Treatment,WTP Asset Refurbishment,NA,43423.82,Water & Waste
100515.25,1859000116,Public Works,Parks and Open Space,Parks Improvements,Regional Pks Investmt Strategy,57250.22,43265.03,Parks and Urban Forestry
211723.39,1857001118,Public Works,Parks and Open Space,Community Park Amenities,PREP-St. Boniface,168850.2,42873.19,Parks and Urban Forestry
212966.37,2005000617,Waterworks Utility,Supply and Treatment,Pumping Stations,Tache Booster Pumping Station,170202.75,42763.62,Water & Waste
47244.64,1420215518,Local Improvements,Local Improvements,Lane pavement,"Dumoulin,Provencher,LaFleche",4579.16,42665.48,Road Maintenance
2717179.74,1806101318,Public Works,Regional Streets,Streets Renewals,LSR 18-R-05B Morrison,2674717.24,42462.5,Road Maintenance
42259.87,1857000419,Public Works,Parks and Open Space,Community Park Amenities,PREP-Elmwood-East Kildonan,NA,42259.87,Parks and Urban Forestry
3365006.71,1831200115,Public Works,Regional Streets,Traffic Engineering Improvements,Transportation Mngmt Centre,3322757.16,42249.55,Road Maintenance
42036.75,2040002119,Sewage Disposal Utility,Collection,Information Technology,Digital Customer Solutions,NA,42036.75,Water & Waste
42017.74,4210001319,Transit,Transit Security Enhance,Transit Safety Mgmt Practices,Bus Communication Moderization,NA,42017.74,Public Transit
309522.01,1420010317,Local Improvements,Local Improvements,Watermains,Grassie Boulevard -Watermain,267623.35,41898.66,Water & Waste
44934.66,1420216018,Local Improvements,Local Improvements,Lane pavement,Kildondn/Greene Ave/Linden Av,3175.7,41758.96,Road Maintenance
8099072.45,203110004B,Sewage Disposal Utility,Treatment,Biosolids,Biosolids Budget             P,8057674.82,41397.63,Water & Waste
373176.98,1805002118,Public Works,Local Streets,Waterway Crossings and Grade Separations Various,Dublin Av Bridge (Omands Crk)M,332109.13,41067.85,Road Maintenance
39235.96,3459009919,"Innovation, Transformation and Technology",Software,Data Warehouse / Business Integration,ISP-Innovation Bench,NA,39235.96,"Innovation, Transformation & Technology"
43234.62,6331002618,Municipal Accommodations,Property Asset Management,Security/Building Automation Systems Incentives,Security/Building Automation,4074.4,39160.22,Misc Capital Expenditure
38936.19,1804101819,Public Works,Regional Streets,Streets Renewals,Dwtn-Portg-Main-Memorial-NBCF,NA,38936.19,Road Maintenance
38095.87,1420010417,Local Improvements,Local Improvements,Sewermains,905 BickertonSt.Wastewat.Sewer,726.75,37369.12,Road Maintenance
37127.7,4210001419,Transit,Transit Buses,Electric Buses,Electric Bus Study,NA,37127.7,Public Transit
394005.97,1804200118,Public Works,Regional Streets,Sidewalk and Curb Repair,Sidewalk/Curb Renewals-Reg St,357039.5,36966.47,Road Maintenance
499600,6351400718,"Planning, Property and Development","Art, Entertainment, & Culture",Public Art Strategy,Public Art Strategy,464308,35292,"Remaining Arts, Ent. & Culture"
35261.53,3402500019,"Innovation, Transformation and Technology",Hardware,Enterprise Computing,Enterprise Computing Initiativ,NA,35261.53,"Innovation, Transformation & Technology"
1391425.18,1806100816,Public Works,Local Streets,Street Renewals,LSR 16-R-07 WSP,1356164.87,35260.31,Road Maintenance
35232.72,2040001819,Sewage Disposal Utility,Collection,Information Technology,WWD Document Management,NA,35232.72,Water & Waste
34952.28,2003000618,Waterworks Utility,Supply and Treatment,Aqueduct,Aqueduct Asset Preservation,0,34952.28,Water & Waste
34715,2030003216,Sewage Disposal Utility,Collection,Reliability Upgrades,Coll Power Reliablity Study,0,34715,Water & Waste
5185428.71,1804101514,Public Works,Regional Streets,Streets Renewals,Sturgeon/Murray Rndabt,5151225.18,34203.53,Road Maintenance
1068483.68,1832000416,Public Works,Regional Streets,Active Transportation Facilities,Bicycle Corridors,1035134.23,33349.45,Recreation
33255.86,400171716,City Clerks,City Clerks,Innovation Fund,ICF - Enterprise Mobility Mgmt,NA,33255.86,"Innovation, Transformation & Technology"
189744.03,2105000017,Fire Paramedic Service,Equipment,Replacement,911 Call Centre Resillience,156523.96,33220.07,Fire Service
192308.93,1420010217,Local Improvements,Local Improvements,Sewermains,Grassie Blvd-Wastewater Sewer,159513.41,32795.52,Water & Waste
32656.14,2076500118,Land Drainage and Flood Control Utility,Flood Control,Flood Pumping Station,Flood Pumping Station Rehab,0,32656.14,Misc Capital Expenditure
596386.58,1831000117,Public Works,Regional Streets,Traffic Engineering Improvements,Traffic Engineer Improve     P,564468.14,31918.44,Road Maintenance
7956776.88,2005001216,Waterworks Utility,Supply and Treatment,Pumping Stations,Pump Stn/Reservoir Upgrades,7925933.34,30843.54,Water & Waste
1505651.87,6351400418,"Planning, Property and Development",City Beautification,Downtown Enhancement Program,James Ave Streetscaping,1475496.82,30155.05,City Beautification
494299.21,1806102017,Public Works,Regional Streets,Active Transportation Facilities,Rec Walkways and Bk Path Renew,464728.28,29570.93,Recreation
1298591.97,1806101618,Public Works,Local Streets,Street Renewals,Residential TBO B,1269315.99,29275.98,Road Maintenance
29017.16,6390001019,Municipal Accommodations,Property Asset Management,Community Centres - Refurbishment and Improvements,Building Asset/Work Management,NA,29017.16,Recreation
478980.7,1853000116,Public Works,Parks and Open Space,Parks Improvements,Parks - Improvements,450011.78,28968.92,Parks and Urban Forestry
28930.34,6362500119,Community Services (including Community Incentive Grants),Recreation and Leisure,Recreation Facility Refurbishment & Redevelopment- Existing,Recr.&Leasure Infrastr.Renewal,NA,28930.34,Recreation
2126996.77,1804101614,Public Works,Regional Streets,Streets Renewals,Downtown Regional Streets,2098414.83,28581.94,Road Maintenance
2313281.49,1806100718,Public Works,Local Streets,Street Renewals,LSR 18-R-05 Morrison,2284777.95,28503.54,Road Maintenance
55759.67,2111010917,Fire Paramedic Service,Facilities,Maintenance,Facilities Optimizat-Station 9,27476.05,28283.62,Fire Service
27837,3459001618,"Innovation, Transformation and Technology",Software,Data Warehouse / Business Integration,ISP-FIPPA Case Mgmt,0,27837,"Innovation, Transformation & Technology"
294088.75,6210000217,Community Services (including Community Incentive Grants),Library,Library Improvements- Existing,Library Interior Infra Replace,266381.13,27707.62,Libraries
861701.32,1853000115,Public Works,Parks and Open Space,Parks Improvements,Parks - Improvements,834399.89,27301.43,Parks and Urban Forestry
2350278.31,6213002113,Community Services (including Community Incentive Grants),Library,Library Improvements- Existing,Library Fac Redev-St. Vital  M,2323121.68,27156.63,Libraries
448126.11,1832000115,Public Works,Regional Streets,Active Transportation Facilities,Rec Walkways & Bike Paths,422408.83,25717.28,Recreation
350000,6210000316,Community Services (including Community Incentive Grants),Information Technology,Upgrade/Replace,Library Tech Upgrade/Replace,324296.25,25703.75,Libraries
14178008.23,2065001100,Solid Waste Disposal Utility,Recycling and Waste Diversion,4R Depots,CIWMS-4R Wpg Depots        MRP,14152324.2,25684.03,Solid Waste Collection
178159,2111010016,Fire Paramedic Service,Facilities,Optimization,Standards of Coverage,152526,25633,Fire Service
25117.2,3460000019,"Innovation, Transformation and Technology",Software,Data Warehouse / Business Integration,Info Security Initiatives,NA,25117.2,"Innovation, Transformation & Technology"
139711.24,6390001016,Municipal Accommodations,Property Asset Management,Community Centres - Refurbishment and Improvements,Building Asset/Work Management,114974.19,24737.05,Recreation
476484.4,1806101816,Public Works,Regional Streets,Active Transportation Facilities,Rec Walkways & Bk Path Renew,451810.48,24673.92,Recreation
24299.85,6250000119,Community Services (including Community Incentive Grants),Recreation and Leisure,Recreation Facility Refurbishment & Redevelopment- Existing,Rec Facility Safety & Access,NA,24299.85,Recreation
23383.42,3459000319,"Innovation, Transformation and Technology",Software,Data Warehouse / Business Integration,ISP-Lineat Referencing System,NA,23383.42,"Innovation, Transformation & Technology"
376839.64,1853000317,Public Works,Parks and Open Space,Parks Improvements,Regional Parks,353530.5,23309.14,Parks and Urban Forestry
23279.22,3463000019,"Innovation, Transformation and Technology",Software,Data Warehouse / Business Integration,E-Mail Archiving,NA,23279.22,"Innovation, Transformation & Technology"
81551.7,2003000517,Waterworks Utility,Supply and Treatment,Shoal Lake Intake,Aqueduct Con Assmt,59108.4,22443.3,Water & Waste
21404.68,1420216317,Local Improvements,Local Improvements,Lane pavement,Maralbo/Parkville/St.Mary's/Du,NA,21404.68,Road Maintenance
215857.6,1804101417,Public Works,Regional Streets,Streets Renewals,Ness-Moray/Braintree,194564.4,21293.2,Road Maintenance
21289.4,1857000619,Public Works,Parks and Open Space,Community Park Amenities,PREP-Mynarski,0,21289.4,Parks and Urban Forestry
644419.24,1806200117,Public Works,Local Streets,Sidewalks,Sidewalk Renewals Local Street,623660.48,20758.76,Road Maintenance
438812.7,2070002515,Land Drainage and Flood Control Utility,Land Drainage,Land Drainage System,Ravelston Deep Pond Landscapin,418111.07,20701.63,Misc Capital Expenditure
19674.3,400251717,City Clerks,City Clerks,Innovation Fund,ICF-Solar Uses Pan Am Pool,NA,19674.3,"Innovation, Transformation & Technology"
